Zeit;Kanal A
(ms);(mV)

-20,23999917;13,98714000
-20,23499917;14,45312000
-20,22999917;14,45312000
-20,22499917;13,98714000
-20,21999917;15,38509000
-20,21499917;14,45312000
-20,20999917;14,45312000
-20,20499917;13,98714000
-20,19999917;13,05518000
-20,19499917;12,58766000
-20,18999917;12,12168000
-20,18499917;11,18971000
-20,17999917;10,25621000
-20,17499917;9,79023100
-20,16999917;9,32424900
-20,16499917;8,39228500
-20,15999917;7,92630300
-20,15499917;8,39228500
-20,14999917;8,39228500
-20,14499917;9,79023100
-20,13999917;8,85826700
-20,13499917;11,18971000
-20,12999917;12,12168000
-20,12499918;13,52116000
-20,11999918;13,98714000
-20,11499918;16,31859000
-20,10999918;16,78457000
-20,10499918;17,25055000
-20,09999918;17,25055000
-20,09499918;19,11602000
-20,08999918;18,65004000
-20,08499918;18,18405000
-20,07999918;17,25055000
-20,07499918;17,71653000
-20,06999918;16,78457000
-20,06499918;15,85261000
-20,05999918;16,31859000
-20,05499918;15,85261000
-20,04999918;16,78457000
-20,04499918;16,31859000
-20,03999918;16,31859000
-20,03499918;16,78457000
-20,02999918;16,31859000
-20,02499918;16,31859000
-20,01999918;15,38509000
-20,01499918;15,85261000
-20,00999918;15,38509000
-20,00499918;15,85261000
-19,99999918;14,91911000
-19,99499918;13,98714000
-19,98999918;13,52116000
-19,98499918;13,05518000
-19,97999918;12,58766000
-19,97499918;12,58766000
-19,96999918;12,12168000
-19,96499918;12,58766000
-19,95999918;13,52116000
-19,95499918;14,45312000
-19,94999918;13,52116000
-19,94499918;14,45312000
-19,93999918;13,98714000
-19,93499918;15,38509000
-19,92999918;15,85261000
-19,92499918;16,31859000
-19,91999918;15,38509000
-19,91499918;13,52116000
-19,90999918;12,58766000
-19,90499918;13,52116000
-19,89999918;12,12168000
-19,89499918;10,25621000
-19,88999918;8,85826700
-19,88499918;6,99280200
-19,87999918;6,06083900
-19,87499918;4,66135500
-19,86999918;3,72939200
-19,86499918;2,32990900
-19,85999918;2,32990900
-19,85499918;1,39794500
